Number of Factor Estimates
Horn's PA 	 9 
Cattell's Scree Test 	 3 
Cng 	 3 
Zoski 	 4 
MAP-original 1976 	 3 
MAP-revised 2000 	 3 
VSS1 	 3 
VSS2 	 4 
