"MR1"	"MR2"	"MR4"	"MR3"
"CC0001"	1.24230318329304	-1.23211059468819	0.144181111084507	-0.701816856035908
"CC0002"	-1.32580921419977	-1.12808378050082	-0.821795336476508	0.175976030405716
"CC0003"	-1.45364070338264	1.24375498952882	-0.899066415674216	-1.2906220102146
"CC0004"	-1.3408039161941	1.31243313068639	-0.595155089527418	-0.112346516877579
"CC0005"	-0.218248501032643	-2.93075195185746	-0.850931323155771	-1.64507212339722
"CC0006"	-0.798681606032067	0.114422960560437	0.0671530588050243	0.524379331963072
"CC0007"	-0.0997317254802008	1.33791346039939	0.1568443439026	1.57542797368071
"CC0008"	-0.51975624938414	-0.415334578436716	-1.60501582979967	-1.11605086923961
"CC0009"	-0.534185595763349	0.848258194996376	-0.317810094960103	1.99332091231351
"CC0010"	-0.087179733795374	0.234976491939297	-1.39039869325001	0.0599618818115554
"CC0011"	-0.300175701805372	0.299772869276095	1.15453863994524	0.142399103539031
"CC0012"	-1.02057318835345	-1.00127255511264	0.506215729274276	0.717925735857072
"CC0013"	0.322498772120407	-1.14816013975749	-0.418584815459868	-0.0380117275245894
"CC0014"	-1.26181606231967	0.798756000259645	-0.0792011177278938	-1.12437021373734
"CC0015"	2.09657004013364	0.874652938343845	-1.23254955106046	-1.14633584516369
"CC0016"	-0.0623563785507522	-0.268310536128137	0.996672825681366	-0.214940144713528
"CC0018"	1.51537322583724	-0.318609879881199	-1.01072292766	-0.327632826700436
"CC0019"	0.593348773606828	1.97615969341828	-1.59694003800062	0.709886327581537
"CC0021"	-0.0941068382999538	1.33299884715152	-1.61016746496454	-0.0835603042396615
"CC0023"	0.738731968880572	-1.8531787253574	-0.540316124178194	-1.83175831229875
"CC0024"	1.01339619093655	-2.00654993314816	-1.16858684310173	-2.54449661055202
"CC0025"	0.630520275002433	-1.08187491332356	0.445701551831415	-0.124725595417518
"CC0026"	0.505413729064361	-0.300829599923923	-1.71945089897139	-1.1976417105172
"CC0027"	0.154644485449337	-1.02327695460526	-0.284474157140253	-0.259415221010896
"CC0028"	-0.294416462387244	-0.753556623848653	0.254868519415929	0.4429271130645
"CC0029"	-1.12711102935294	-0.556827817116215	-0.676834539329027	-0.984284815800013
"CC0030"	-1.17791594325307	0.0877632810976614	0.908025037372311	0.562085876965828
"CC0031"	0.309481343586485	-0.378165921859461	-1.46904207889122	0.780883772338285
"CC0032"	0.736353374923259	-0.498525613038594	1.0501933707955	0.399235786114343
"CC0033"	-0.420534183593239	1.38876865793366	1.72105356080306	-0.68458248904206
"CC0035"	-0.637466321419137	0.569363478921139	-0.131516936858111	-0.34705103160107
"CC0036"	-1.7228468463946	1.37320651967869	0.342560739195257	1.4309638402777
"CC0039"	0.434710801496211	1.42797869153765	-1.13834413086948	-1.16578641153784
"CC0041"	-1.020827762417	1.38176430511433	0.366573850250698	0.447654115595679
"CC0044"	0.0439701877801747	-1.66143018580706	-0.349763105022681	-0.417558759257228
"CC0045"	-0.117841704974194	0.494825673487232	-0.130274857717531	0.712715132035571
"CC0046"	2.36961845788211	-0.470475509850305	0.66229704962076	0.896923295881321
"CC0047"	-0.718226536216338	-1.15097700502816	-0.947080521258326	0.868046222515027
"CC0048"	-0.503562738810096	-0.337596013791853	0.130633094211123	0.58498576098413
"CC0049"	-0.420633256094772	1.54602038860735	0.0618484587928476	-1.34095794012743
"CC0050"	0.511427855434926	1.82093304847181	-1.22487972345812	-0.591772041807938
"CC0051"	0.0474333057877912	-0.546845161550997	0.354819703769271	-0.0752742983154584
"CC0052"	-0.751552222386419	0.808424422745686	-1.29088682862065	0.665980376235965
