"ML1"	"ML2"	"ML3"	"ML4"
"CC0001"	1.16386700525944	-0.851123664782233	-1.1465989923017	-0.385920092014753
"CC0002"	-1.71118530254851	-0.618080683119449	0.0297302802049429	-1.71531843191623
"CC0003"	-1.88323955387436	1.30138366627284	-1.50434268678843	-0.60272013178011
"CC0004"	-1.47971373154746	1.56632827332023	-0.0862626576447674	0.069655541707281
"CC0005"	-0.972348636424451	-0.638280195018348	-2.67728282242408	-1.93100307174631
"CC0006"	-0.740236842287195	0.27024318062664	0.527718663495889	0.443862507743372
"CC0007"	0.497244890695307	1.03911282057613	2.10159632601292	1.36248502267517
"CC0008"	-1.05387408888246	1.20168190438932	-1.51322979222942	-1.28856604917573
"CC0009"	0.0249199682584599	0.665362994160672	2.82835553503184	-0.00793490869885499
"CC0010"	-0.0782041633083619	1.61401330746872	0.145785962463357	-0.640602613448357
"CC0011"	-0.113757644447555	-0.131191963285541	0.179749278423726	2.05051492386946
"CC0012"	-0.900267262071822	-0.524412175262166	0.374712264329182	1.06438657139285
"CC0013"	0.124034589623335	-0.624284512057041	-0.233434829955807	-1.26777257585646
"CC0014"	-1.57473255732839	0.867524934855766	-1.41433903889267	0.79803022967079
"CC0015"	2.11431189243154	1.91010424612715	-0.844708559383172	-0.729649872359396
"CC0016"	0.0834052344351971	-0.334990299335312	-0.271232566980358	1.43205273414309
"CC0018"	1.63379986021876	1.2111007477315	-0.158228567694265	-0.800571677005179
"CC0019"	0.8219621084309	2.3322221095802	1.34597139432954	-0.644594131457251
"CC0021"	-0.37743939238889	1.65679300521714	0.258772515038102	-1.39218966006563
"CC0023"	0.137306104560404	-0.685809606431225	-2.65027685575987	-1.92498636510862
"CC0024"	0.532023106319155	1.02714544035598	-3.27708488235776	-0.794617481650328
"CC0025"	0.532332334040001	-1.12210803108223	-0.343618909536162	-0.00996677538603192
"CC0026"	0.167880002496119	1.72138181526485	-1.17624150645319	-1.3948771631137
"CC0027"	-0.0705122129480431	-0.188560125979664	-0.479581070875236	-0.696038642644329
"CC0028"	-0.418850940100734	-1.21900791065486	0.283403250151597	-0.858911809723602
"CC0029"	-1.20460028317298	2.03327695332541	-1.30717317276431	1.40946907767601
"CC0030"	-1.26740885552049	-1.13235449603766	0.665821879661002	0.207410468997687
"CC0031"	0.315547928204127	0.984399481554802	1.12223694248237	-1.3183077704047
"CC0032"	1.06566769632044	-1.0626292758366	0.374763237085206	0.865431297571644
"CC0033"	-0.247167448317182	0.0787722489811066	-0.853610003643546	2.87965097347716
"CC0035"	-0.557846134711345	1.70182186741077	-0.206618892568132	1.48725046449913
"CC0036"	-1.43527529898984	-0.000976260872415122	2.13299274933826	0.349794025767888
"CC0039"	0.248555446977944	1.99620000049791	-1.05532344715551	-0.122236954166721
"CC0041"	-0.786868540250629	0.738159195667952	0.618042252333669	1.65659451458446
"CC0044"	-0.141521744840662	-0.358994926318638	-0.798335759477536	-0.580007412976158
"CC0045"	-0.170492876217054	-0.800794148995311	1.13583963836537	-1.50626165037687
"CC0046"	2.75299436784096	-0.948799536559539	1.34063095604824	0.348961387547309
"CC0047"	-0.860269535010794	-0.27234773517175	0.834106513108223	-1.98297938508979
"CC0048"	-0.312380429851943	-0.0199395223311454	0.685695063860769	0.672374599459833
"CC0049"	-0.487744909513405	1.67963655904295	-1.40593056959246	1.28743483665331
"CC0050"	0.445526112463047	1.92159737971464	-0.19076911076503	-0.787282145431228
"CC0051"	0.0598669686856143	-0.713045542484871	-0.127706880132872	-0.0416879400344417
"CC0052"	-0.833661277034791	1.30467407791999	1.1298668811249	-1.22328120956513
"CC0053"	-1.50059801115845	-1.63407062971662	-1.50748136513284	1.11359334793112
"CC0054"	1.94471640313229	0.912255991470359	0.431217697352283	0.741998675958723
"CC0055"	1.040659450132	-1.10037789389129	-0.7312974963343	2.17569186508543
"CC0056"	-0.0696770966271614	-0.957675582942151	-1.50503599562836	0.835055855239086
"CC0057"	-1.03409422606632	-0.798297441817675	-1.85242820254482	1.00624582421934
"CC0058"	0.886385444582063	-1.29708492654928	-0.674970500441826	1.33697712583039
"CC0059"	0.141582681690124	0.638964212767246	-0.0100884399698011	-1.45544406867232
"CC0060"	-0.553976295096669	0.458652850377078	-1.64878240055958	-0.656196594355035
"CC0061"	0.524477646975578	-1.58940270342504	0.435906115631247	-0.742085574180946
"CC0063"	0.425718330668995	-0.925199587762828	0.456486206711091	1.24126165463103
"CC0064"	-1.40132168202704	0.948722957558789	-0.866195628388434	-0.846527416860265
