"ML1"	"ML2"	"ML3"	"ML4"
"CC0001"	1.22774609874854	-0.85355163102114	-1.05061666712522	-0.213145015192714
"CC0002"	-1.50682318796309	-0.509617441566036	-0.182604396044372	-1.87902182390469
"CC0003"	-1.7339703692583	1.30670535305272	-1.81874286356181	-0.43866317774405
"CC0004"	-1.44836587732646	1.57305823249179	-0.303978965858125	0.124471587179016
"CC0005"	-0.619856331219302	-0.542193107345946	-2.92243080713076	-1.72603178042654
"CC0006"	-0.795492738220044	0.2605475377989	0.50110437794363	0.386349895855964
"CC0007"	0.11788007020609	1.05027422708028	2.11719720336325	1.32269883231815
"CC0008"	-0.740311967462224	1.25924512394004	-1.70013496205813	-1.098414731884
"CC0009"	-0.100639177766525	0.722152942665398	2.87628747551976	-0.295201328517161
"CC0010"	0.23210623862699	1.62951070214984	0.22341979005325	-0.574793466858806
"CC0011"	-0.372419565485639	-0.241898487525542	0.266209320320253	2.01749312106545
"CC0012"	-1.05947985498357	-0.549380214698146	0.317059874872909	1.02757318294339
"CC0013"	0.25008997928544	-0.546539570164862	-0.322244960404268	-1.26695403960094
"CC0014"	-1.42600567204933	0.777974019376236	-1.4452295032168	0.888390049488669
"CC0015"	2.17615271278666	1.88188720485288	-0.825588560272797	-0.39514344970798
"CC0016"	0.154127409174496	-0.450649477712819	-0.0548956162061179	1.41029504052745
"CC0018"	1.71663220992235	1.23329912458407	-0.0877184814779015	-0.622248615170652
"CC0019"	0.918629456329034	2.35581129388466	1.42112491890789	-0.588076223899311
"CC0021"	-0.250092169764352	1.74625655163334	0.0650993586028584	-1.32380466848455
"CC0023"	0.529190570469113	-0.636628274009331	-2.79610904389048	-1.65605589549363
"CC0024"	1.24093260732289	0.936098847157389	-3.0422219395742	-0.444653346505749
"CC0025"	0.736078738043691	-1.18352579143202	-0.116512289354546	-0.0689733174271863
"CC0026"	0.159665863828406	1.77774947824751	-1.39295314023782	-1.14364127168866
"CC0027"	0.103902853185158	-0.161814901679687	-0.517988916513956	-0.663341691302358
"CC0028"	-0.418548431603436	-1.15827657841772	0.205166664162718	-0.979720580116897
"CC0029"	-1.34247185044665	1.94595144354754	-1.45615274754912	1.64042151531137
"CC0030"	-1.36674153426088	-1.12339105640706	0.570891303888417	-0.0250825735083606
"CC0031"	0.456015317403745	1.07470516148202	1.08598531598839	-1.33581250398722
"CC0032"	1.11147528271611	-1.13126986811002	0.651911213464199	0.745283936487333
"CC0033"	-0.372471664574499	-0.122608039185344	-0.626185915492151	2.94259479894068
"CC0035"	-0.616060086435192	1.59145865953823	-0.188204848092913	1.55963397068562
"CC0036"	-1.69950271706677	0.0316854565555185	1.99531614064991	0.0296708894473587
"CC0039"	0.337750377398149	1.95666038393205	-1.08836425706717	0.0907685603877099
"CC0041"	-0.826410761047303	0.641034925033693	0.766813961945856	1.55986995273079
"CC0044"	0.145593931856156	-0.344919399878622	-0.712899840331429	-0.557314870424367
"CC0045"	-0.221257839211627	-0.685106698650714	1.02525121745893	-1.72868802020578
"CC0046"	2.53558739193106	-0.971720364548123	1.61259283553869	0.232585054739289
"CC0047"	-0.791166920825639	-0.108053199662194	0.559450833845267	-2.10888258990828
"CC0048"	-0.448450999459487	-0.0372009771018062	0.727558150143611	0.594896328117472
"CC0049"	-0.407970159196597	1.56359339943208	-1.37293696893856	1.50152457528604
"CC0050"	0.500933811011257	1.95660710486699	-0.255282129449203	-0.626350694401136
"CC0051"	0.242373166769815	-0.741293234898754	0.0572319794489672	-0.134700065039673
"CC0052"	-0.856850001934946	1.42095684437895	0.844097396246815	-1.26934485251412
"CC0053"	-1.43826182813929	-1.70406467568475	-1.54515109536058	1.11232297932982
"CC0054"	1.57869155421099	0.879472173936343	0.4561473942946	0.877576911414856
"CC0055"	1.09467103084563	-1.29344170542104	-0.304158983452738	2.15236811474311
"CC0056"	0.289627204661774	-1.07638378500507	-1.20988378244158	0.848713597096342
"CC0057"	-1.01394076624927	-0.882631885248797	-1.90059290039964	1.12951275894103
"CC0058"	0.947225510473655	-1.42648676997656	-0.363907870557633	1.30636955202207
"CC0059"	0.268119616497834	0.710507730214668	-0.0954775575208473	-1.44068139143973
"CC0060"	-0.358967713831725	0.441664859573024	-1.70922310787099	-0.528636324617466
"CC0061"	0.529216465086956	-1.53122176035569	0.438289965727193	-0.803999682226057
"CC0063"	0.26657493693992	-0.989442489461304	0.61881477805837	1.16651377924275
"CC0064"	-1.30387383846246	0.993967555380665	-1.10832252861221	-0.722638555097511
"CC0065"	0.815797064272165	-1.61429793956888	-0.0997889870966607	-0.398470964965113
"CC0068"	1.15217616895273	0.991239516750794	1.16447501676492	-0.707288626194005
"CC0069"	-0.0961248034609147	1.08940029949855	-1.42793552612744	0.15889406162822
"CC0070"	0.0612733725254835	-0.663529248992504	-0.0718091004871061	-1.76115714580731
"CC0071"	-0.222724976786586	2.57307193706699	1.26880670967557	0.510545044848869
"CC0074"	-1.60550519366748	1.09857770723968	-0.0434256274806303	0.516123697707657
"CC0076"	1.04597298336673	0.344097704916203	1.04054596653382	-1.85770240271695
"CC0077"	-0.695436328502866	-0.301115868555749	0.627228257703733	2.82945092635857
"CC0078"	-1.57321520985534	-0.723962604588663	-0.878483129766976	0.493459610211054
"CC0079"	1.30241781104915	0.552580071000503	1.08760665910148	0.960061271299081
